Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
26/027,2026-03-10,2,16,25,34,35,37,49,37,2,4,3,3,1,1,1,3,0,0,0.00,1.5,1103470.00,65,67900.00,352.5,9600.00,3758.2,640.00,4531.5,320.00,68833.1,40.00,45944653
26/026,2026-03-07,12,15,18,22,28,37,31,18,4,2,2,4,0,3,2,1,0,1.5,23626540.00,3.5,711210.00,194,34210.00,318.5,9600.00,8381.2,640.00,8013.3,320.00,135817.7,40.00,70825278
26/025,2026-03-05,4,18,24,31,42,46,11,31,3,3,1,5,1,1,1,1,2,0,0.00,2,1195910.00,65,98120.00,237.5,9600.00,4628,640.00,7834.8,320.00,88961.7,40.00,62495570
26/024,2026-03-03,6,13,20,31,32,44,45,,3,3,2,4,1,2,0,2,1,0,0.00,3.5,671150.00,70,89480.00,265,9600.00,4561.8,640.00,5917,320.00,90913.3,40.00,61238800
26/023,2026-02-28,5,15,37,39,46,47,29,15,2,4,5,1,1,1,0,2,2,0,0.00,3.5,547560.00,57,89660.00,131,9600.00,3277.5,640.00,4056.2,320.00,62767.8,40.00,47716905
26/022,2026-02-26,6,13,15,19,38,42,34,13,4,2,3,3,1,3,0,1,1,0,0.00,2,851550.00,57.5,78980.00,143,9600.00,3463.2,640.00,4162.4,320.00,67778.9,40.00,43978743
26/021,2026-02-24,2,3,4,10,13,23,12,2,6,0,3,3,4,1,1,0,0,1,8000000.00,13.5,79160.00,246.5,19200.00,854.5,9600.00,8308.5,640.00,13177.3,320.00,108347.9,40.00,45827149
26/020,2026-02-21,2,18,34,35,37,49,33,37,2,4,3,3,1,1,0,3,1,5,42187500.00,13.5,1134250.00,641.5,63650.00,1579,9600.00,31457,640.00,47973.9,320.00,587764.5,40.00,402289808
26/019,2026-02-15,8,28,33,36,37,46,4,"37,46",1,5,2,4,1,0,1,3,1,0,0.00,0,0.00,84,75670.00,194,9600.00,5387.9,640.00,6367,320.00,100564.2,40.00,62409046
26/018,2026-02-12,2,3,14,25,37,46,10,"3,14",3,3,3,3,2,1,1,1,1,0,0.00,1,1651090.00,53.5,82290.00,140,9600.00,2900.7,640.00,4799.5,320.00,59589,40.00,42288156
26/017,2026-02-10,3,4,14,18,26,39,40,,4,2,2,4,2,2,1,1,0,1,20125190.00,2,1123590.00,80.5,74440.00,267,9600.00,5645.3,640.00,6622,320.00,105921.4,40.00,61090133
26/016,2026-02-07,12,22,28,32,37,44,20,,2,4,1,5,0,1,2,2,1,0,0.00,2.5,717810.00,104.5,45790.00,205,9600.00,5082.7,640.00,5473.5,320.00,84540.6,40.00,49215360
26/015,2026-02-05,1,9,17,24,35,36,42,,4,2,4,2,2,1,1,2,0,0,0.00,4,373340.00,87.5,45510.00,203,9600.00,4182,640.00,4232.7,320.00,78040.3,40.00,41559103
26/014,2026-02-03,12,23,27,37,39,42,5,,2,4,4,2,0,1,2,2,1,2,23276930.00,5.5,594660.00,144.5,60350.00,636,9600.00,7886.6,640.00,10795.4,320.00,140170.6,40.00,91368676
26/013,2026-01-31,25,30,32,35,36,47,46,35,0,6,3,3,0,0,2,3,1,0,0.00,5,556140.00,82,90420.00,228,9600.00,4923.8,640.00,6354,320.00,93015.6,40.00,70104398
26/012,2026-01-29,6,9,12,14,35,44,11,"12,14",4,2,2,4,2,2,0,1,1,0,0.00,0,0.00,85,70180.00,303,9600.00,5394.9,640.00,10088.8,320.00,104926.4,40.00,62445438
26/011,2026-01-27,7,12,14,25,38,47,15,,3,3,3,3,1,2,1,1,1,0,0.00,1,2140440.00,72.5,78720.00,218.5,9600.00,5231.6,640.00,6450.2,320.00,96827.6,40.00,57499361
26/010,2026-01-24,6,16,17,22,28,48,45,,4,2,1,5,1,2,2,0,1,0,0.00,1,1676760.00,102,43830.00,186,9600.00,5037.9,640.00,4681,320.00,84287.2,40.00,46240143
26/009,2026-01-22,4,9,15,24,27,31,45,"4,9",4,2,4,2,2,1,2,1,0,0,0.00,1,1480910.00,75.5,52300.00,131,9600.00,4006.6,640.00,3718,320.00,70831.9,40.00,39744053
26/008,2026-01-20,1,4,6,9,44,46,27,,4,2,2,4,4,0,0,0,2,5,7948200.00,5.5,465810.00,424.5,19200.00,448,9600.00,12532.7,640.00,11906.1,320.00,174574.8,40.00,84630978
26/007,2026-01-17,5,12,15,23,27,42,46,,4,2,4,2,1,2,2,0,1,0,0.00,2,1268070.00,120.5,56120.00,235,9600.00,6386.7,640.00,6512.5,320.00,115249.3,40.00,67569840
26/006,2026-01-15,3,6,37,38,39,44,48,38,2,4,3,3,2,0,0,3,1,0,0.00,0,0.00,122.5,47730.00,186.5,9600.00,5090.2,640.00,5826.5,320.00,89662.4,40.00,57457548
26/005,2026-01-13,14,24,34,38,48,49,27,24,2,4,1,5,0,1,1,2,2,0,0.00,1.5,1367560.00,114,47980.00,182,9600.00,4958.7,640.00,5398.8,320.00,80216.2,40.00,53797300
